sezione;col1;col2;col3;col4;col5
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;297.094;193.583;53.325;544.002;
05 - Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;22.253;11.220;50.995;84.468;
06 - Rifiuti dei processi chimici inorganici;281.639;128.859;67.479;477.977;
07 - Rifiuti dei processi chimici organici;1.303.900;128.415;111.880;1.544.195;
08 - Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;720.929;82.416;43.361;846.706;
09 - Rifiuti dell'industria fotografica;7.547;820;1.282;9.649;
10 - Rifiuti provenienti da processi termici;4.534.516;795.879;2.425.894;7.756.289;
11 - Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;359.924;91.957;36.718;488.599;
12 - Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;4.483.625;387.797;464.876;5.336.298;
13 - Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);711.807;132.035;194.849;1.038.691;
14 - Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);37.570;6.012;3.189;46.771;
15 - Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;2.975.383;653.291;666.328;4.295.002;
16 - Rifiuti non specificati altrimenti nell'elenco;3.345.132;1.192.135;2.643.995;7.181.262;
17 - Rifiuti delle attivita' di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);45.264.438;14.638.472;22.627.776;82.530.686;
18 - Rifiuti prodotti dal settore sanitario e veterinario o da attivita' di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);117.779;55.710;72.651;246.140;
19 - Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonche' dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;24.822.750;8.089.322;11.317.081;44.229.153;
20 - Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attivita' commerciali e industriali nonche' dalle istituzioni) inclusi i rifiuti della raccolta differenziata;1.051.116;347.998;471.266;1.870.380;
Totale;94.121.823;28.082.967;42.258.666;164.463.456;
Produzione dei rifiuti speciali non pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2023 (ISPRA);;;;;
Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t);
ND - Attivita' ISTAT non determinata;1.696;512;827;3.035;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;782.693;297.127;129.608;1.209.428;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;1.590.003;339.718;739.915;2.669.636;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;1.393.473;508.059;128.530;2.030.062;
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;296.800;193.451;53.304;543.555;
05 - Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;3.951;4.979;3.412;12.342;
06 - Rifiuti dei processi chimici inorganici;182.665;114.319;32.247;329.231;
07 - Rifiuti dei processi chimici organici;357.010;65.178;53.434;475.622;
08 - Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;649.421;72.142;31.056;752.619;
09 - Rifiuti dell'industria fotografica;538;90;157;785;
10 - Rifiuti provenienti da processi termici;4.089.087;767.280;2.356.101;7.212.468;
11 - Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;111.663;46.557;12.144;170.364;
12 - Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;4.040.829;369.366;441.952;4.852.147;
15 - Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;2.809.986;616.758;638.474;4.065.218;
16 - Rifiuti non specificati altrimenti nell'elenco;2.337.370;875.643;2.011.969;5.224.982;
17 - Rifiuti delle attivita' di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);44.452.614;14.537.458;22.433.103;81.423.175;
18 - Rifiuti prodotti dal settore sanitario e veterinario o da attivita' di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);16.264;9.264;3.220;28.748;
19 - Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonche' dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;22.822.206;7.690.994;10.916.011;41.429.211;
20 - Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attivita' commerciali e industriali nonche' dalle istituzioni) inclusi i rifiuti della raccolta differenziata;1.035.572;345.495;467.056;1.848.123;
Totale;86.973.841;26.854.390;40.452.520;154.280.751;
Produzione dei rifiuti speciali pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2023 (ISPRA);;;;;
Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t);
ND - Attivita' ISTAT non determinata;279;272;362;913;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;824;440;4.970;6.234;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;358;25;8;391;
03 - Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;15.095;893;1.501;17.489;
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;294;132;21;447;
