	Dati di sintesi della produzione dei rifiuti speciali - 2019 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
19 - Raffinerie petrolio, fabbricazione coke;         267.536;          29.850;         141.345;         438.731;
20 - Fabbricazione di prodotti chimici;         607.243;          43.237;          46.933;         697.413;
21 - Fabbricazione di prodotti farmaceutici di base e preparati;         414.428;          30.323;          20.927;         465.678;
22 - Industria gomma e materie plastiche;          90.759;           7.164;           7.288;         105.211;
23 - Industria minerali non metalliferi;          79.802;           7.472;           4.912;          92.186;
24 - Industria metallurgica;         674.105;         118.043;         189.047;         981.195;
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);         356.320;          44.834;          25.315;         426.469;
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;          12.471;           1.308;           2.978;          16.757;
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;          32.377;           2.878;           6.463;          41.718;
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;         133.617;          13.791;           9.619;         157.027;
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;          47.637;           5.348;          14.124;          67.109;
30 - Fabbricazione di altri mezzi di trasporto;          23.044;           5.812;          13.905;          42.761;
31 - Fabbricazione di mobili;          11.224;           2.542;             617;          14.383;
32 - Altre industrie manifatturiere;          35.085;           7.234;             636;          42.955;
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;          36.815;           6.836;           7.890;          51.541;
35 - Fornitura di energia elettrica, gas, vapore e aria;          36.499;          86.026;          50.850;         173.375;
36 - Raccolta, trattamento e fornitura di acqua;           4.562;             121;           1.226;           5.909;
37 - Gestione delle reti fognarie;          78.042;          14.002;          53.904;         145.948;
38 - Attivita' di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;       2.246.839;         390.155;         416.520;       3.053.514;
39 - Attivita' di risanamento e altri servizi di gestione dei rifiuti;         177.535;          14.564;          65.919;         258.018;
41, 42, 43 - Costruzioni;         320.200;          34.438;          43.430;         398.068;
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;         873.383;         315.463;         544.025;       1.732.871;
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);          70.999;          12.666;           8.261;          91.926;
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);           8.703;           5.896;           2.594;          17.193;
49 - Trasporto terrestre e trasporto mediante condotte;          47.549;           3.273;           9.818;          60.640;
50 - Trasporto marittimo e per vie d'acqua;          14.278;             124;           2.158;          16.560;
51 - Trasporto aereo;              90;             150;              55;             295;
